
Logging session 12 - user MM - 2/7/2012 5:52:31 PM
40946.7448049653,drag,gesture h:214 v:81,12
40946.7453802894,rotate,gesture r:20,12
40946.7454194792,drag,gesture h:30 v:-11,12
40946.7454194792,rotate,gesture r:18,12
40946.7455503125,minimize,double tap,12
40946.7455606481,exit,minimized button,12
40946.7464476273,rotate,gesture r:5,12
40946.7464683102,resize,gesture 2.049,12
40946.7465276389,drag,gesture h:33 v:-38,12
40946.7465724653,drag,gesture h:44 v:320,12
40946.7465724653,rotate,gesture r:6,12
40946.7465724653,resize,gesture 0.523,12
40946.7466753241,drag,gesture h:82 v:-36,12
40946.7466753241,rotate,gesture r:4,12
40946.7466753241,resize,gesture 1.194,12
40946.7467170023,drag,gesture h:97 v:27,12
40946.7467493056,rotate,gesture r:25,12
40946.7467902894,resize,gesture 1.065,12
40946.7470844444,drag,gesture h:218 v:110,12
40946.7471207176,resize,gesture 0.921,12
40946.7471450347,rotate,gesture r:21,12
40946.7471858333,resize,gesture 0.824,12
40946.7472108681,drag,gesture h:6 v:137,12
40946.7472371875,drag,gesture h:-95 v:107,12
40946.7474699306,drag,gesture h:96 v:-268,12
40946.7475234954,drag,gesture h:-32 v:120,12
40946.7475234954,resize,gesture 1.093,12
40946.7476353125,drag,gesture h:112 v:-18,12
40946.7476353125,resize,gesture 1.093,12
40946.7478953935,minimize,double tap,12
40946.747943912,minimize,double tap,12
40946.7480023032,drag,gesture h:-147 v:94,12
40946.7480023032,rotate,gesture r:30,12
40946.7480174769,resize,gesture 0.954,12
40946.7480511458,minimize,double tap,12
40946.7480949421,minimize,double tap,12
40946.7481533912,rotate,gesture r:11,12
40946.7482752546,minimize,double tap,12
40946.7483313079,drag,gesture h:-37 v:255,12
40946.7483313079,rotate,gesture r:8,12
40946.7483391204,maximize,size enlarge,12
40946.7483519676,drag,gesture h:133 v:-103,12
40946.7483519676,resize,gesture 1.796,12
40946.7483887384,drag,gesture h:-141 v:152,12
40946.7483887384,resize,gesture 0.560,12
40946.7484165278,rotate,maximized,12
40946.7484169213,drag,gesture h:130 v:-138,12
40946.7484169213,resize,gesture 1.702,12
40946.7484531366,resize,gesture 0.495,12
40946.7484897454,drag,gesture h:41 v:-21,12
40946.7484936921,drag,gesture h:-101 v:91,12
