
Logging session 01 - user MG - 2/6/2012 10:01:57 AM
drag,gesture h:271 v:3,10:01:57
resize,gesture 1.555,10:01:58
drag,gesture h:-8 v:44,10:03:06
rotate,gesture r:8,10:03:06
drag,gesture h:78 v:25,10:03:19
resize,gesture 0.801,10:03:19
minimize,double tap,10:03:52
exit,minimized button,10:03:53
exit,minimized button,10:03:56
drag,gesture h:23 v:44,10:05:04
resize,gesture 1.223,10:05:05
rotate,gesture r:6,10:05:09
drag,gesture h:33 v:43,10:05:17
rotate,gesture r:5,10:05:17
resize,gesture 0.784,10:05:17
drag,gesture h:59 v:47,10:05:42
drag,gesture h:-33 v:60,10:05:54
drag,gesture h:123 v:19,10:05:55
rotate,gesture r:7,10:05:56
drag,gesture h:54 v:-41,10:06:07
rotate,gesture r:78,10:06:07
drag,gesture h:40 v:66,10:06:08
resize,gesture 0.577,10:06:08
resize,gesture 0.901,10:06:10
resize,gesture 1.265,10:06:13
rotate,gesture r:3,10:06:14
resize,gesture 1.609,10:06:14
resize,gesture 2.076,10:06:15
maximize,size enlarge,10:06:16
drag,gesture h:139 v:188,10:06:16
rotate,gesture r:5,10:06:16
resize,gesture 0.945,10:06:16
drag,gesture h:65 v:73,10:06:17
rotate,gesture r:4,10:06:17
resize,gesture 0.720,10:06:17
drag,gesture h:12 v:85,10:06:18
resize,gesture 0.639,10:06:18
resize,gesture 0.923,10:06:18
rotate,gesture r:10,10:06:20
drag,gesture h:19 v:65,10:06:30
resize,gesture 0.651,10:06:30
resize,gesture 1.112,10:06:32
resize,gesture 1.776,10:06:33
resize,gesture 1.270,10:06:33
drag,gesture h:80 v:165,10:06:34
rotate,gesture r:10,10:06:34
resize,gesture 0.509,10:06:34
drag,gesture h:-101 v:188,10:06:53
rotate,gesture r:16,10:06:55
drag,gesture h:85 v:6,10:06:57
rotate,gesture r:6,10:06:59
resize,gesture 0.725,10:06:59
resize,gesture 0.929,10:07:00
drag,gesture h:5 v:48,10:07:04
resize,gesture 1.173,10:07:05
drag,gesture h:41 v:29,10:07:06
rotate,gesture r:10,10:07:06
resize,gesture 1.428,10:07:06
drag,gesture h:-35 v:104,10:07:07
rotate,gesture r:51,10:07:07
resize,gesture 1.451,10:07:07
drag,gesture h:126 v:-85,10:07:15
rotate,gesture r:21,10:07:15
drag,gesture h:127 v:-327,10:07:59
rotate,gesture r:4,10:08:04
drag,gesture h:17 v:33,10:08:04
resize,gesture 0.809,10:08:04
resize,gesture 1.214,10:08:05
resize,gesture 1.573,10:08:06
resize,gesture 1.477,10:08:06
drag,gesture h:60 v:139,10:08:07
resize,gesture 0.755,10:08:07
drag,gesture h:20 v:42,10:08:07
drag,gesture h:13 v:54,10:08:08
drag,gesture h:40 v:74,10:08:09
rotate,gesture r:4,10:08:09
resize,gesture 0.773,10:08:09
drag,gesture h:-24 v:143,10:08:11
rotate,gesture r:8,10:08:13
drag,gesture h:-29 v:140,10:08:14
minimize,off edge,10:08:17
minimize,off edge,10:08:17
drag,gesture h:170 v:292,10:08:18
rotate,gesture r:33,10:08:24
minimize,off edge,10:08:26
drag,gesture h:291 v:368,10:08:27
rotate,gesture r:43,10:08:32
rotate,gesture r:42,10:08:34
rotate,gesture r:28,10:08:36
drag,gesture h:8 v:140,10:08:51
drag,gesture h:-12 v:129,10:08:57
rotate,gesture r:3,10:08:57
minimize,off edge,10:08:58
minimize,off edge,10:08:58
drag,gesture h:-145 v:431,10:08:59
rotate,gesture r:28,10:08:59
exit,minimized button,10:09:03
drag,gesture h:-24 v:109,10:09:07
drag,gesture h:70 v:-134,10:09:09
rotate,gesture r:4,10:09:09
drag,gesture h:288 v:-117,10:09:29
rotate,gesture r:30,10:09:29
drag,gesture h:21 v:130,10:09:30
resize,gesture 1.899,10:09:30
drag,gesture h:-60 v:32,10:09:32
rotate,gesture r:9,10:09:32
resize,gesture 1.032,10:09:32
drag,gesture h:-79 v:87,10:09:34
resize,gesture 0.688,10:09:34
drag,gesture h:-5 v:68,10:09:36
resize,gesture 0.782,10:09:36
drag,gesture h:-29 v:52,10:09:39
minimize,double tap,10:10:17
exit,minimized button,10:10:19
drag,gesture h:301 v:-52,10:10:27
rotate,gesture r:4,10:10:27
resize,gesture 1.241,10:10:27
drag,gesture h:121 v:-5,10:11:15
rotate,gesture r:79,10:11:43
drag,gesture h:218 v:168,10:11:44
rotate,gesture r:19,10:11:44
minimize,off edge,10:11:47
minimize,off edge,10:11:47
drag,gesture h:25 v:309,10:11:48
rotate,gesture r:71,10:11:48
resize,gesture 1.478,10:11:48
maximize,size enlarge,10:11:53
rotate,gesture r:10,10:11:54
resize,gesture 1.008,10:11:54
drag,gesture h:16 v:125,10:11:58
rotate,gesture r:3,10:11:58
drag,gesture h:-118 v:90,10:11:59
resize,gesture 0.511,10:12:00
drag,gesture h:416 v:96,10:12:03
rotate,gesture r:85,10:12:03
rotate,gesture r:72,10:12:05
resize,gesture 1.306,10:12:05
rotate,gesture r:11,10:12:13
drag,gesture h:108 v:-25,10:12:22
resize,gesture 0.763,10:12:22
drag,gesture h:27 v:112,10:12:32
rotate,gesture r:9,10:12:32
resize,gesture 0.924,10:12:32
resize,gesture 1.026,10:12:44
maximize,size enlarge,10:12:47
drag,gesture h:45 v:-77,10:12:48
resize,gesture 1.989,10:12:48
drag,gesture h:-16 v:33,10:12:50
rotate,gesture r:3,10:12:50
resize,gesture 0.800,10:12:50
drag,gesture h:-54 v:90,10:12:50
resize,gesture 0.631,10:12:50
resize,gesture 1.261,10:13:04
minimize,off edge,10:13:18
minimize,off edge,10:13:18
drag,gesture h:53 v:583,10:13:18
rotate,gesture r:15,10:13:27
drag,gesture h:90 v:-95,10:13:33
drag,gesture h:-76 v:64,10:13:37
rotate,gesture r:39,10:13:37
resize,gesture 1.044,10:13:37
minimize,double tap,10:13:38
minimize,double tap,10:13:44
minimize,blob touch,10:13:52
drag,gesture h:-202 v:68,10:13:55
rotate,gesture r:36,10:13:55
