
Logging session 02 - user RS - 2/6/2012 1:01:25 PM
drag,gesture h:110 v:62,13:01:25
minimize,double tap,13:03:19
exit,minimized button,13:03:20
drag,gesture h:108 v:3,13:05:24
rotate,gesture r:15,13:05:24
drag,gesture h:352 v:209,13:05:29
resize,gesture 0.413,13:05:29
resize,gesture 2.704,13:05:32
rotate,gesture r:87,13:05:41
resize,gesture 0.837,13:05:41
minimize,double tap,13:05:43
drag,gesture h:-41 v:32,13:05:43
rotate,gesture r:5,13:05:43
drag,gesture h:106 v:-265,13:05:49
minimize,double tap,13:05:55
drag,gesture h:-101 v:292,13:05:59
rotate,gesture r:3,13:05:59
rotate,gesture r:33,13:06:00
drag,gesture h:45 v:8,13:06:02
rotate,gesture r:3,13:06:02
resize,gesture 1.816,13:06:02
drag,gesture h:-18 v:210,13:06:03
rotate,gesture r:5,13:06:03
resize,gesture 0.558,13:06:03
drag,gesture h:40 v:-218,13:06:06
resize,gesture 1.088,13:06:06
rotate,gesture r:3,13:06:07
drag,gesture h:43 v:220,13:06:08
minimize,double tap,13:06:20
exit,minimized button,13:06:21
rotate,gesture r:8,13:06:47
minimize,double tap,13:06:56
maximize,size enlarge,13:06:59
rotate,maximized,13:07:00
rotate,maximized,13:07:00
rotate,maximized,13:07:00
resize,gesture 2.026,13:07:01
rotate,maximized,13:07:03
resize,gesture 0.889,13:07:07
drag,gesture h:37 v:-6,13:07:10
rotate,maximized,13:07:10
rotate,maximized,13:07:10
rotate,maximized,13:07:11
drag,gesture h:57 v:4,13:07:11
resize,gesture 1.109,13:07:11
drag,gesture h:270 v:-23,13:07:16
drag,gesture h:-111 v:76,13:07:20
rotate,gesture r:8,13:07:20
resize,gesture 1.009,13:07:25
rotate,maximized,13:07:29
rotate,maximized,13:07:35
drag,gesture h:-25 v:132,13:07:40
resize,gesture 0.237,13:07:40
drag,gesture h:-20 v:232,13:07:42
resize,gesture 3.498,13:07:42
resize,gesture 0.600,13:07:44
resize,gesture 1.065,13:08:19
drag,gesture h:-63 v:219,13:08:22
drag,gesture h:23 v:69,13:08:26
minimize,double tap,13:08:33
exit,minimized button,13:08:33
minimize,double tap,13:08:34
drag,gesture h:48 v:-147,13:08:41
drag,gesture h:116 v:-13,13:09:27
rotate,gesture r:3,13:09:27
rotate,gesture r:6,13:09:37
drag,gesture h:282 v:-45,13:09:38
drag,gesture h:39 v:46,13:09:40
resize,gesture 1.109,13:09:40
minimize,double tap,13:09:48
drag,gesture h:152 v:105,13:09:57
rotate,gesture r:3,13:09:57
drag,gesture h:13 v:39,13:09:59
resize,gesture 0.807,13:09:59
drag,gesture h:148 v:67,13:10:17
resize,gesture 0.914,13:10:17
rotate,gesture r:173,13:10:19
resize,gesture 1.133,13:10:19
rotate,gesture r:7,13:10:24
resize,gesture 1.021,13:10:24
resize,gesture 1.066,13:10:31
drag,gesture h:-187 v:192,13:10:36
resize,gesture 0.971,13:10:36
drag,gesture h:124 v:-101,13:10:39
rotate,gesture r:108,13:10:39
resize,gesture 0.722,13:10:39
exit,press and hold,13:10:43
drag,gesture h:38 v:-53,13:10:47
resize,gesture 1.382,13:10:47
drag,gesture h:-75 v:46,13:10:49
drag,gesture h:46 v:-45,13:10:52
rotate,gesture r:56,13:10:52
drag,gesture h:113 v:188,13:10:53
rotate,gesture r:52,13:10:53
drag,gesture h:207 v:-33,13:10:55
resize,gesture 0.927,13:11:00
minimize,size reduce,13:11:12
drag,gesture h:-5 v:121,13:11:12
resize,gesture 0.659,13:11:12
minimize,size reduce,13:11:12
minimize,size reduce,13:11:20
drag,gesture h:27 v:124,13:11:20
rotate,gesture r:3,13:11:20
minimize,size reduce,13:11:20
drag,gesture h:84 v:-174,13:11:25
resize,gesture 1.513,13:11:25
drag,gesture h:31 v:29,13:11:29
resize,gesture 0.850,13:11:29
resize,gesture 1.272,13:11:34
rotate,gesture r:4,13:11:43
resize,gesture 0.878,13:11:43
minimize,double tap,13:11:53
drag,gesture h:54 v:-211,13:11:57
resize,gesture 1.145,13:11:57
minimize,size reduce,13:11:58
drag,gesture h:-3 v:161,13:11:58
resize,gesture 0.606,13:11:58
minimize,size reduce,13:11:58
rotate,gesture r:23,13:12:02
drag,gesture h:-24 v:282,13:12:06
minimize,off edge,13:12:07
minimize,off edge,13:12:07
drag,gesture h:11 v:73,13:12:07
minimize,off edge,13:12:12
minimize,off edge,13:12:12
drag,gesture h:-86 v:130,13:12:12
minimize,off edge,13:12:17
minimize,off edge,13:12:17
drag,gesture h:-256 v:143,13:12:18
drag,gesture h:443 v:-265,13:12:20
rotate,gesture r:56,13:12:20
rotate,gesture r:101,13:12:22
drag,gesture h:71 v:-96,13:12:23
drag,gesture h:-248 v:31,13:12:25
resize,gesture 0.830,13:12:25
minimize,off edge,13:12:28
minimize,off edge,13:12:28
drag,gesture h:177 v:-56,13:12:29
drag,gesture h:-25 v:95,13:12:32
resize,gesture 2.099,13:12:32
minimize,off edge,13:12:34
minimize,off edge,13:12:34
drag,gesture h:101 v:-600,13:12:34
