
Logging session 07 - user SS - 2/6/2012 5:39:44 PM
40945.7359274421,drag,gesture h:171 v:11,07
40945.7371004977,rotate,gesture r:38,07
40945.7371004977,resize,gesture 1.016,07
40945.737357037,minimize,double tap,07
40945.7373650463,exit,minimized button,07
40945.7387604745,rotate,gesture r:78,07
40945.7388008333,drag,gesture h:113 v:-83,07
40945.7388008333,resize,gesture 0.942,07
40945.7388435532,drag,gesture h:-12 v:30,07
40945.7388435532,rotate,gesture r:4,07
40945.7388435532,resize,gesture 1.064,07
40945.7389641898,resize,gesture 1.204,07
40945.7390210995,minimize,double tap,07
40945.7391264352,drag,gesture h:-25 v:273,07
40945.7391264352,resize,gesture 1.063,07
40945.7391852431,minimize,size reduce,07
40945.7391852546,drag,gesture h:-29 v:75,07
40945.7391852546,rotate,gesture r:5,07
40945.7391852546,resize,gesture 0.466,07
40945.7391852546,minimize,size reduce,07
40945.7392500463,resize,gesture 2.067,07
40945.7393274653,resize,gesture 0.940,07
40945.7393652083,minimize,double tap,07
40945.7393848611,exit,minimized button,07
40945.739690081,drag,gesture h:154 v:-64,07
40945.739690081,resize,gesture 0.982,07
40945.7398268981,minimize,size reduce,07
40945.7398269097,minimize,size reduce,07
40945.7398285301,drag,gesture h:-51 v:82,07
40945.7398285301,rotate,gesture r:3,07
40945.7398285301,resize,gesture 0.610,07
40945.7398941204,drag,gesture h:74 v:-20,07
40945.7398941204,resize,gesture 2.565,07
40945.7399185995,drag,gesture h:-0 v:34,07
40945.7399186111,resize,gesture 0.706,07
40945.7399537037,drag,gesture h:168 v:0,07
40945.7399537153,resize,gesture 1.004,07
40945.7400462268,minimize,double tap,07
40945.7400792014,minimize,blob touch,07
40945.7401662732,resize,gesture 1.148,07
40945.7402034028,rotate,gesture r:88,07
40945.7402034028,resize,gesture 0.943,07
40945.7404108681,resize,gesture 0.902,07
40945.7409213657,drag,gesture h:346 v:-222,07
40945.7409213657,rotate,gesture r:73,07
40945.7409213657,resize,gesture 0.562,07
40945.7409749884,drag,gesture h:-59 v:197,07
40945.740975,rotate,gesture r:111,07
40945.7410380671,rotate,gesture r:10,07
40945.7410380671,resize,gesture 0.794,07
40945.7410728125,drag,gesture h:72 v:77,07
40945.7410728125,rotate,gesture r:160,07
40945.7411029514,drag,gesture h:534 v:82,07
40945.7411029514,rotate,gesture r:20,07
40945.7411029514,resize,gesture 0.937,07
40945.7411420139,resize,gesture 0.989,07
40945.7411673032,rotate,gesture r:8,07
40945.7411673032,resize,gesture 1.039,07
40945.741233831,drag,gesture h:667 v:141,07
40945.741233831,resize,gesture 0.996,07
40945.7412695949,resize,gesture 1.091,07
40945.74153125,resize,gesture 1.139,07
40945.7416634606,drag,gesture h:91 v:13,07
40945.7416634722,resize,gesture 1.421,07
40945.741708044,drag,gesture h:16 v:41,07
40945.741708044,rotate,gesture r:5,07
40945.7417080556,resize,gesture 0.668,07
40945.7417296991,drag,gesture h:54 v:146,07
40945.7417296991,rotate,gesture r:101,07
40945.7417296991,resize,gesture 0.766,07
40945.741738912,minimize,size reduce,07
40945.741738912,minimize,size reduce,07
40945.741738912,minimize,size reduce,07
40945.7417461343,rotate,gesture r:73,07
40945.7417461343,resize,gesture 1.441,07
40945.7418053241,drag,gesture h:27 v:53,07
40945.7418053241,rotate,gesture r:37,07
40945.7418053241,resize,gesture 0.833,07
40945.7418333449,drag,gesture h:-75 v:33,07
40945.7418333449,rotate,gesture r:171,07
40945.7418333449,resize,gesture 0.799,07
40945.7418594676,resize,gesture 2.297,07
40945.7419287731,resize,gesture 1.126,07
